TOT_TRXN_AM,TOT_TRXN_CNT,EFFECTIVE.RISK,Activity.Risk,HR.AM,LRF.AM,PASS.THROUGH,TRUSTED.PAIR,RUN.DATE,Overall_risk,Customer ID
26753.07169,78,5,5,0,26753.07169,N,N,1/31/2019,Low Risk,1822
24205.94159,82,9,9,0,24205.94159,Y,N,1/31/2019,Low Risk,7251
11131.95139,62,5,9,0,11131.95139,N,Y,1/31/2019,Low Risk,9216
22177.8316,96,5,1,0,22177.8316,N,Y,1/31/2019,Low Risk,5193
17293.56069,92,1,1,0,17293.56069,N,N,1/31/2019,Low Risk,9053
23452.00369,80,5,9,0,23452.00369,N,N,1/31/2019,Low Risk,8757
19044.04163,84,5,9,0,19044.04163,Y,N,1/31/2019,Low Risk,9891
29437.28304,60,9,9,0,29437.28304,N,N,1/31/2019,High Risk,2465
14428.42829,67,5,5,0,14428.42829,N,Y,1/31/2019,Low Risk,3879
16406.47861,100,1,1,0,16406.47861,N,Y,1/31/2019,Low Risk,6319
21353.37196,91,9,1,0,21353.37196,N,N,1/31/2019,High Risk,5663
12380.90833,75,1,1,0,12380.90833,N,Y,1/31/2019,High Risk,5553
13420.84318,53,9,9,0,13420.84318,N,N,1/31/2019,Low Risk,6704
13689.32561,64,9,5,0,13689.32561,N,N,1/31/2019,Low Risk,7661
17108.8717,96,9,1,0,17108.8717,Y,N,1/31/2019,Low Risk,2626
20186.97432,68,9,5,0,20186.97432,N,Y,1/31/2019,High Risk,4401
10135.61509,82,1,9,0,10135.61509,N,N,1/31/2019,Low Risk,4491
18616.2739,61,9,9,0,18616.2739,Y,N,1/31/2019,High Risk,8014
24189.82954,66,1,5,0,24189.82954,Y,Y,1/31/2019,High Risk,9399
22945.08382,51,1,9,0,22945.08382,N,N,1/31/2019,Low Risk,7134
10148.64068,69,1,5,0,10148.64068,Y,Y,1/31/2019,Low Risk,7449
12546.43924,55,1,9,0,12546.43924,N,Y,1/31/2019,High Risk,7044
25571.8749,67,1,9,0,25571.8749,N,Y,1/31/2019,Low Risk,2021
29351.80986,69,1,1,0,29351.80986,N,N,1/31/2019,Low Risk,2121
13096.0886,70,9,1,0,13096.0886,Y,Y,1/31/2019,High Risk,5999
19537.61451,65,5,5,0,19537.61451,N,N,1/31/2019,Low Risk,9317
15022.85345,57,9,9,0,15022.85345,Y,N,1/31/2019,Low Risk,3241
23349.01328,88,1,9,0,23349.01328,Y,Y,1/31/2019,Low Risk,4886
19765.62099,53,9,9,0,19765.62099,Y,N,1/31/2019,Low Risk,5182
23433.72382,65,5,9,0,23433.72382,Y,Y,1/31/2019,Low Risk,3424
24803.76093,57,1,9,0,24803.76093,N,N,1/31/2019,High Risk,8842
15144.54762,54,1,5,0,15144.54762,Y,N,1/31/2019,High Risk,7094
11483.4869,95,9,1,0,11483.4869,N,N,1/31/2019,Low Risk,1952
29780.84102,30,9,5,29780.84102,0,Y,Y,1/31/2019,Low Risk,2989
20291.30813,2,9,9,20291.30813,0,Y,Y,1/31/2019,Low Risk,8099
13509.77177,46,1,5,13509.77177,0,N,N,1/31/2019,Low Risk,7852
17692.08825,50,9,1,17692.08825,0,N,Y,1/31/2019,Low Risk,2781
22141.30857,27,9,1,22141.30857,0,Y,Y,1/31/2019,Low Risk,6580
29817.33174,39,1,5,29817.33174,0,N,Y,1/31/2019,Low Risk,5392
17327.48213,23,5,5,17327.48213,0,N,N,1/31/2019,Low Risk,2454
14978.59305,41,9,5,14978.59305,0,Y,N,1/31/2019,Low Risk,3358
19386.73739,47,9,9,19386.73739,0,Y,N,1/31/2019,Low Risk,8079
22803.87868,39,1,9,22803.87868,0,Y,Y,1/31/2019,Low Risk,8475
13712.36118,33,9,9,13712.36118,0,N,Y,1/31/2019,High Risk,5039
22917.25436,42,5,1,22917.25436,0,Y,Y,1/31/2019,Low Risk,2749
25082.90259,11,5,9,25082.90259,0,N,N,1/31/2019,Low Risk,7804
18807.72226,34,5,9,18807.72226,0,N,Y,1/31/2019,Low Risk,8274
14023.68503,1,5,9,14023.68503,0,Y,N,1/31/2019,Low Risk,4941
28449.33742,45,1,9,28449.33742,0,Y,Y,1/31/2019,Low Risk,9452
20991.40274,12,1,9,20991.40274,0,N,Y,1/31/2019,Low Risk,5550
15927.2771,3,9,5,15927.2771,0,N,Y,1/31/2019,Low Risk,3235
11896.47241,19,1,1,11896.47241,0,N,N,1/31/2019,High Risk,8544
10504.00743,1,1,9,10504.00743,0,Y,Y,1/31/2019,Low Risk,7669
14685.57828,6,1,9,14685.57828,0,N,N,1/31/2019,Low Risk,3744
14609.29071,19,5,1,14609.29071,0,Y,N,1/31/2019,High Risk,5669
28258.53901,2,5,9,28258.53901,0,N,Y,1/31/2019,High Risk,9449
10405.79256,14,5,5,10405.79256,0,Y,Y,1/31/2019,Low Risk,4261
26893.38619,26,9,9,26893.38619,0,N,Y,1/31/2019,Low Risk,8643
28754.8427,33,5,9,28754.8427,0,Y,N,1/31/2019,High Risk,1054
26623.91598,7,9,1,26623.91598,0,N,Y,1/31/2019,High Risk,4516
24218.41074,33,5,5,24218.41074,0,N,N,1/31/2019,High Risk,6229
29705.85771,28,1,1,29705.85771,0,Y,N,1/31/2019,Low Risk,8218
10688.34663,33,1,5,10688.34663,0,N,N,1/31/2019,Low Risk,1961
16568.27311,19,1,1,16568.27311,0,Y,N,1/31/2019,Low Risk,5580
23602.18653,41,5,5,23602.18653,0,N,Y,1/31/2019,Low Risk,2290
11968.1945,39,9,5,11968.1945,0,N,N,1/31/2019,High Risk,1491
15744.84213,44,9,5,15744.84213,0,Y,Y,1/31/2019,Low Risk,1758
28374.5571,42,5,9,28374.5571,0,N,N,1/31/2019,Low Risk,2596
18934.12534,33,5,1,18934.12534,0,Y,N,1/31/2019,High Risk,2350
21632.52448,30,9,5,21632.52448,0,Y,N,1/31/2019,Low Risk,5461
22406.47865,38,9,1,22406.47865,0,Y,N,1/31/2019,High Risk,7743
19432.91068,37,1,5,19432.91068,0,Y,N,1/31/2019,Low Risk,8061
28841.61852,41,1,5,28841.61852,0,Y,Y,1/31/2019,Low Risk,6985
27268.52505,32,1,1,27268.52505,0,Y,N,1/31/2019,High Risk,1620
13147.80676,40,1,5,13147.80676,0,N,N,1/31/2019,Low Risk,8776
18373.08612,32,9,5,18373.08612,0,N,N,1/31/2019,Low Risk,7055
11485.4799,16,5,1,11485.4799,0,N,Y,1/31/2019,High Risk,2769
20880.86475,45,9,5,20880.86475,0,N,N,1/31/2019,Low Risk,1614
19702.73431,41,1,9,19702.73431,0,Y,N,1/31/2019,High Risk,6701
26803.01156,22,5,5,26803.01156,0,Y,Y,1/31/2019,Low Risk,2639
25872.80939,38,5,5,25872.80939,0,Y,Y,1/31/2019,High Risk,7634
29575.84302,40,5,5,29575.84302,0,N,N,1/31/2019,Low Risk,6405
18296.12101,19,1,1,18296.12101,0,N,N,1/31/2019,Low Risk,6459
23184.87835,40,9,1,23184.87835,0,N,Y,1/31/2019,Low Risk,4316
24428.34933,39,9,1,24428.34933,0,Y,Y,1/31/2019,Low Risk,1893
10479.80206,32,5,5,10479.80206,0,N,N,1/31/2019,Low Risk,4683
25991.57239,46,1,1,25991.57239,0,N,Y,1/31/2019,Low Risk,7589
15027.22653,7,1,5,15027.22653,0,Y,N,1/31/2019,Low Risk,6791
19114.89734,27,1,9,19114.89734,0,N,N,1/31/2019,Low Risk,1221
19725.70148,39,5,5,19725.70148,0,N,N,1/31/2019,High Risk,1550
21334.10772,15,9,1,21334.10772,0,N,N,1/31/2019,High Risk,1740
18211.45033,12,9,9,18211.45033,0,Y,N,1/31/2019,Low Risk,2436
19131.01078,50,1,9,19131.01078,0,N,Y,1/31/2019,Low Risk,8212
24331.84937,8,1,5,24331.84937,0,N,Y,1/31/2019,Low Risk,2495
12936.56477,50,5,5,12936.56477,0,N,Y,1/31/2019,Low Risk,5284
13450.00322,35,5,9,13450.00322,0,N,N,1/31/2019,High Risk,5716
13508.52167,3,9,9,13508.52167,0,N,N,1/31/2019,Low Risk,4958
13079.85523,39,1,5,13079.85523,0,N,N,1/31/2019,High Risk,7078
23287.38744,2,9,5,23287.38744,0,Y,N,1/31/2019,High Risk,9607
19250.9107,41,5,1,19250.9107,0,Y,Y,1/31/2019,Low Risk,3639
24634.38621,3,1,5,24634.38621,0,N,Y,1/31/2019,Low Risk,8734
22522.23156,43,9,9,22522.23156,0,Y,Y,1/31/2019,Low Risk,5959
17464.48803,6,9,5,17464.48803,0,Y,N,1/31/2019,Low Risk,7013
20176.49974,32,9,5,20176.49974,0,Y,N,1/31/2019,High Risk,5855
10432.56552,40,5,1,10432.56552,0,N,N,1/31/2019,High Risk,1414
19716.54917,22,5,9,19716.54917,0,N,Y,1/31/2019,Low Risk,6744
23140.02756,21,5,5,23140.02756,0,N,N,1/31/2019,Low Risk,7079
11154.38956,25,9,5,11154.38956,0,N,Y,1/31/2019,High Risk,6240
10484.31182,18,1,9,10484.31182,0,Y,Y,1/31/2019,High Risk,7465
15168.03439,43,5,9,15168.03439,0,Y,Y,1/31/2019,Low Risk,3789
29671.53962,4,5,5,29671.53962,0,Y,Y,1/31/2019,Low Risk,2117
26826.71299,42,1,1,26826.71299,0,N,Y,1/31/2019,Low Risk,1708
11601.0258,29,9,1,11601.0258,0,Y,N,1/31/2019,Low Risk,3584
27986.39216,30,5,5,27986.39216,0,Y,N,1/31/2019,Low Risk,4782
20667.41467,43,1,9,20667.41467,0,Y,N,1/31/2019,Low Risk,9028
15477.86542,9,5,1,15477.86542,0,N,Y,1/31/2019,High Risk,8564
26335.09141,18,1,9,26335.09141,0,Y,N,1/31/2019,Low Risk,4307
17061.79824,25,5,9,17061.79824,0,N,Y,1/31/2019,Low Risk,2330
11420.71317,49,1,5,11420.71317,0,N,Y,1/31/2019,Low Risk,4548
29889.59687,12,1,5,29889.59687,0,Y,Y,1/31/2019,Low Risk,9733
13590.55141,46,5,1,13590.55141,0,Y,N,1/31/2019,High Risk,6210
22171.62842,28,5,9,22171.62842,0,N,Y,1/31/2019,Low Risk,7766
26053.76206,23,9,5,26053.76206,0,N,Y,1/31/2019,Low Risk,9189
21894.78062,22,1,5,21894.78062,0,N,N,1/31/2019,Low Risk,9384
14688.92084,12,1,5,14688.92084,0,Y,Y,1/31/2019,Low Risk,3911
12678.4434,27,5,9,12678.4434,0,Y,N,1/31/2019,Low Risk,3469
18183.83043,2,9,5,18183.83043,0,N,Y,1/31/2019,Low Risk,8324
17146.1401,21,9,1,17146.1401,0,Y,N,1/31/2019,Low Risk,9783
18813.30578,31,1,1,18813.30578,0,Y,N,1/31/2019,Low Risk,6710
13078.16131,40,1,1,13078.16131,0,Y,N,1/31/2019,Low Risk,9166
20972.01221,20,1,1,20972.01221,0,Y,N,1/31/2019,Low Risk,9885
15741.74819,17,5,1,15741.74819,0,N,Y,1/31/2019,High Risk,8201
25074.56693,40,1,1,25074.56693,0,N,N,1/31/2019,Low Risk,7755
21628.2505,16,5,9,21628.2505,0,Y,Y,1/31/2019,Low Risk,6428
27160.79339,20,1,5,27160.79339,0,Y,N,1/31/2019,Low Risk,6476
28028.53368,33,5,1,28028.53368,0,N,N,1/31/2019,High Risk,4253
22128.71967,15,5,1,22128.71967,0,Y,N,1/31/2019,Low Risk,1360
17106.87865,35,9,5,17106.87865,0,N,Y,1/31/2019,Low Risk,5737
10429.00842,27,5,9,10429.00842,0,N,N,1/31/2019,Low Risk,9984
22547.37729,27,5,1,22547.37729,0,Y,Y,1/31/2019,High Risk,6288
27724.81675,14,5,5,27724.81675,0,N,N,1/31/2019,Low Risk,4804
11828.12128,31,1,5,11828.12128,0,Y,Y,1/31/2019,Low Risk,7707
19268.74681,15,9,5,19268.74681,0,N,N,1/31/2019,High Risk,3916
19347.7504,39,5,5,19347.7504,0,Y,Y,1/31/2019,Low Risk,8268
27427.13129,36,9,5,27427.13129,0,N,Y,1/31/2019,High Risk,1856
28235.18606,14,1,1,28235.18606,0,Y,Y,1/31/2019,Low Risk,1697
27947.45305,9,1,5,27947.45305,0,N,Y,1/31/2019,High Risk,2760
21250.84295,21,1,1,21250.84295,0,Y,Y,1/31/2019,Low Risk,9605
15934.68094,11,5,9,15934.68094,0,Y,N,1/31/2019,Low Risk,9633
16334.45193,28,9,5,16334.45193,0,Y,N,1/31/2019,Low Risk,7505
12489.58817,15,1,5,12489.58817,0,Y,Y,1/31/2019,Low Risk,8010
29156.64617,34,5,9,29156.64617,0,N,Y,1/31/2019,Low Risk,4494
12354.2462,1,1,1,12354.2462,0,N,N,1/31/2019,High Risk,8220
25032.60521,6,9,1,25032.60521,0,N,Y,1/31/2019,Low Risk,7890
21830.33976,42,9,5,21830.33976,0,Y,N,1/31/2019,High Risk,9183
15435.61651,14,9,1,15435.61651,0,N,Y,1/31/2019,Low Risk,5652
14063.78474,41,9,9,14063.78474,0,Y,Y,1/31/2019,Low Risk,9001
29123.25513,20,9,9,29123.25513,0,N,N,1/31/2019,Low Risk,2880
10519.48295,43,5,5,10519.48295,0,Y,N,1/31/2019,Low Risk,9006
28646.11729,31,9,1,28646.11729,0,Y,Y,1/31/2019,Low Risk,3963
24731.22289,12,5,1,24731.22289,0,Y,Y,1/31/2019,High Risk,5556
22467.98926,1,9,5,22467.98926,0,N,Y,1/31/2019,Low Risk,4648
26480.01084,12,1,5,26480.01084,0,N,N,1/31/2019,Low Risk,7963
18667.50791,49,5,1,18667.50791,0,N,N,1/31/2019,Low Risk,6944
21554.77351,46,9,5,21554.77351,0,Y,N,1/31/2019,Low Risk,1227
23837.13253,17,1,9,23837.13253,0,Y,N,1/31/2019,Low Risk,7207
28501.07158,40,9,9,28501.07158,0,N,Y,1/31/2019,Low Risk,3505
26818.02648,38,1,9,26818.02648,0,N,N,1/31/2019,High Risk,6008
22320.40213,8,9,5,22320.40213,0,N,Y,1/31/2019,Low Risk,8624
20410.78647,42,9,9,20410.78647,0,N,N,1/31/2019,Low Risk,7796
22938.22547,27,5,1,22938.22547,0,N,Y,1/31/2019,Low Risk,7414
25516.59171,29,5,5,25516.59171,0,N,Y,1/31/2019,Low Risk,7313
12728.61102,9,9,1,12728.61102,0,N,N,1/31/2019,High Risk,1835
24566.26617,50,5,1,24566.26617,0,N,N,1/31/2019,Low Risk,4792
10635.33318,14,5,9,10635.33318,0,Y,Y,1/31/2019,High Risk,8845
24828.95058,43,9,9,24828.95058,0,N,Y,1/31/2019,Low Risk,5664
10386.4983,1,5,1,10386.4983,0,N,N,1/31/2019,Low Risk,3081
11758.51071,37,9,9,11758.51071,0,Y,Y,1/31/2019,Low Risk,7279
21960.42228,7,5,1,21960.42228,0,N,Y,1/31/2019,Low Risk,4676
29484.37224,20,5,9,29484.37224,0,Y,Y,1/31/2019,Low Risk,4198
15122.55856,12,9,5,15122.55856,0,N,Y,1/31/2019,Low Risk,3796
18950.05699,6,5,9,18950.05699,0,Y,N,1/31/2019,Low Risk,4130
29815.57091,43,5,1,29815.57091,0,N,Y,1/31/2019,Low Risk,9923
21725.20016,30,9,5,21725.20016,0,Y,Y,1/31/2019,Low Risk,4594
10347.7567,21,1,9,10347.7567,0,N,N,1/31/2019,High Risk,2536
11560.25879,31,1,5,11560.25879,0,N,N,1/31/2019,High Risk,6865
18237.8256,13,1,9,18237.8256,0,N,Y,1/31/2019,Low Risk,2973
12835.11791,43,9,5,12835.11791,0,N,N,1/31/2019,Low Risk,7722
18027.81461,49,9,5,18027.81461,0,N,N,1/31/2019,Low Risk,2110
10934.58603,3,5,5,10934.58603,0,Y,N,1/31/2019,High Risk,1447
14541.63514,23,9,9,14541.63514,0,N,N,1/31/2019,Low Risk,3720
23247.76348,19,5,1,23247.76348,0,Y,Y,1/31/2019,Low Risk,6286
17295.92554,41,5,5,17295.92554,0,Y,Y,1/31/2019,Low Risk,8833
24815.67931,46,5,9,24815.67931,0,N,Y,1/31/2019,Low Risk,4099
28737.11368,16,1,9,28737.11368,0,N,N,1/31/2019,High Risk,5339
10161.1602,6,9,5,10161.1602,0,Y,N,1/31/2019,Low Risk,2941
13914.00116,24,1,5,13914.00116,0,N,N,1/31/2019,Low Risk,3891
10745.69441,34,9,9,10745.69441,0,N,Y,1/31/2019,Low Risk,4788
22582.92665,29,1,5,22582.92665,0,Y,Y,1/31/2019,High Risk,6410
14578.1429,19,1,5,14578.1429,0,N,Y,1/31/2019,Low Risk,6467
11441.74603,11,1,1,11441.74603,0,Y,Y,1/31/2019,Low Risk,9893
28895.91032,17,1,9,28895.91032,0,Y,N,1/31/2019,Low Risk,9768
26916.67573,17,9,1,26916.67573,0,Y,Y,1/31/2019,Low Risk,1222
17516.56439,2,9,5,17516.56439,0,N,N,1/31/2019,Low Risk,2137
25770.05192,6,5,5,25770.05192,0,N,Y,1/31/2019,High Risk,4463
29103.86014,48,1,9,29103.86014,0,Y,N,1/31/2019,Low Risk,9012
13584.47071,42,5,5,13584.47071,0,Y,Y,1/31/2019,Low Risk,2554
28615.21248,41,1,1,28615.21248,0,Y,Y,1/31/2019,High Risk,6199
16488.45805,20,1,5,16488.45805,0,N,Y,1/31/2019,Low Risk,8648
15195.07879,27,9,1,15195.07879,0,Y,N,1/31/2019,Low Risk,3658
13182.56119,35,5,1,13182.56119,0,N,Y,1/31/2019,Low Risk,3413
29893.76905,20,1,9,29893.76905,0,N,Y,1/31/2019,Low Risk,3503
15809.70916,6,5,1,15809.70916,0,Y,N,1/31/2019,Low Risk,6328
28092.51341,19,5,1,28092.51341,0,Y,Y,1/31/2019,Low Risk,6942
25584.32449,24,9,5,25584.32449,0,N,N,1/31/2019,Low Risk,4990
10616.08542,4,9,5,10616.08542,0,Y,Y,1/31/2019,Low Risk,8095
18080.51933,46,9,9,18080.51933,0,Y,N,1/31/2019,Low Risk,2352
18454.53951,45,5,1,18454.53951,0,Y,N,1/31/2019,Low Risk,2354
26628.58604,40,1,9,26628.58604,0,N,Y,1/31/2019,Low Risk,6876
12574.32321,43,1,5,12574.32321,0,Y,N,1/31/2019,High Risk,8222
21392.89447,43,9,1,21392.89447,0,Y,Y,1/31/2019,Low Risk,3260
17105.45199,21,5,1,17105.45199,0,Y,N,1/31/2019,Low Risk,5668
29131.68495,45,9,9,29131.68495,0,Y,N,1/31/2019,Low Risk,7912
26807.61938,10,1,9,26807.61938,0,Y,N,1/31/2019,Low Risk,2379
16181.90568,13,9,1,16181.90568,0,N,Y,1/31/2019,Low Risk,1848
28008.96715,1,1,1,28008.96715,0,Y,N,1/31/2019,Low Risk,4838
21257.52319,5,5,1,21257.52319,0,Y,N,1/31/2019,Low Risk,6084
25597.48293,21,9,1,25597.48293,0,Y,N,1/31/2019,Low Risk,8302
10336.98651,6,1,9,10336.98651,0,Y,N,1/31/2019,Low Risk,8745
23294.4639,3,5,5,23294.4639,0,Y,Y,1/31/2019,Low Risk,3725
14549.32607,48,1,1,14549.32607,0,Y,N,1/31/2019,Low Risk,7692
12329.1999,17,9,1,12329.1999,0,N,Y,1/31/2019,Low Risk,1528
28321.84534,23,9,5,28321.84534,0,Y,Y,1/31/2019,Low Risk,2538
20007.06666,48,5,5,20007.06666,0,Y,N,1/31/2019,Low Risk,6783
27638.12911,46,5,1,27638.12911,0,N,Y,1/31/2019,Low Risk,7257
23103.21007,6,5,9,23103.21007,0,N,Y,1/31/2019,Low Risk,3993
13138.85525,43,9,1,13138.85525,0,Y,N,1/31/2019,Low Risk,5571
22384.9459,9,1,5,22384.9459,0,N,N,1/31/2019,Low Risk,3185
24166.10739,34,9,1,24166.10739,0,Y,Y,1/31/2019,Low Risk,2104
23793.45261,39,1,1,23793.45261,0,N,N,1/31/2019,Low Risk,3599
28365.96682,5,9,5,28365.96682,0,Y,Y,1/31/2019,Low Risk,9019
11052.11367,49,9,1,11052.11367,0,Y,N,1/31/2019,High Risk,9051
10981.19633,8,5,9,10981.19633,0,Y,N,1/31/2019,High Risk,4970
18583.1117,27,1,9,18583.1117,0,N,Y,1/31/2019,High Risk,6718
26483.32431,19,5,9,26483.32431,0,N,Y,1/31/2019,Low Risk,5349
14359.44032,49,9,1,14359.44032,0,Y,Y,1/31/2019,Low Risk,9419
15248.0811,5,5,9,15248.0811,0,N,N,1/31/2019,High Risk,1419
27082.47105,14,1,9,27082.47105,0,N,N,1/31/2019,Low Risk,5603
10639.4304,22,9,1,10639.4304,0,N,N,1/31/2019,Low Risk,6762
21631.06816,11,9,5,21631.06816,0,N,Y,1/31/2019,Low Risk,1504
18428.81433,29,9,5,18428.81433,0,Y,Y,1/31/2019,Low Risk,7148
13179.11828,33,9,5,13179.11828,0,N,Y,1/31/2019,Low Risk,6115
16894.28747,3,9,5,16894.28747,0,N,N,1/31/2019,High Risk,6083
16535.12082,40,1,9,16535.12082,0,Y,N,1/31/2019,Low Risk,7537
15986.95687,48,1,5,15986.95687,0,N,Y,1/31/2019,High Risk,5722
14695.24419,9,9,1,14695.24419,0,Y,Y,1/31/2019,High Risk,9665
25281.21266,31,1,1,25281.21266,0,N,Y,1/31/2019,High Risk,3199
25081.37827,24,1,5,25081.37827,0,Y,Y,1/31/2019,Low Risk,1108
19898.74625,26,9,5,19898.74625,0,Y,N,1/31/2019,Low Risk,5802
21979.07955,2,1,5,21979.07955,0,N,N,1/31/2019,Low Risk,7772
18029.10735,21,1,1,18029.10735,0,N,N,1/31/2019,High Risk,5523
25908.23056,6,5,9,25908.23056,0,Y,N,1/31/2019,High Risk,9438
16067.89385,45,5,9,16067.89385,0,Y,Y,1/31/2019,Low Risk,5954
11432.83127,46,1,9,11432.83127,0,N,Y,1/31/2019,Low Risk,8327
19321.71213,40,9,1,19321.71213,0,Y,Y,1/31/2019,Low Risk,2735
10276.17864,30,9,5,10276.17864,0,Y,N,1/31/2019,Low Risk,5596
21257.99119,25,5,5,21257.99119,0,N,Y,1/31/2019,Low Risk,2999
29002.64859,46,9,1,29002.64859,0,N,Y,1/31/2019,Low Risk,9746
17323.83734,20,5,1,17323.83734,0,N,N,1/31/2019,Low Risk,8935
12196.69021,20,9,1,12196.69021,0,N,N,1/31/2019,Low Risk,9298
19133.71804,19,5,5,19133.71804,0,N,N,1/31/2019,Low Risk,7027
24096.34984,4,5,5,24096.34984,0,Y,Y,1/31/2019,High Risk,5321
21888.64799,14,5,1,21888.64799,0,Y,N,1/31/2019,High Risk,9626
15075.20738,15,9,9,15075.20738,0,Y,Y,1/31/2019,Low Risk,1281
14357.2658,31,1,1,14357.2658,0,N,N,1/31/2019,Low Risk,8216
22142.18507,19,9,1,22142.18507,0,N,Y,1/31/2019,Low Risk,5063
21968.00522,24,5,9,21968.00522,0,Y,N,1/31/2019,Low Risk,2509
16659.4035,12,5,9,16659.4035,0,Y,Y,1/31/2019,Low Risk,7684
14277.95794,31,9,5,14277.95794,0,N,Y,1/31/2019,Low Risk,1611
18405.82161,25,9,5,18405.82161,0,Y,Y,1/31/2019,Low Risk,6033
19039.85294,29,5,9,19039.85294,0,Y,Y,1/31/2019,Low Risk,1925
12076.38556,2,9,9,12076.38556,0,N,Y,1/31/2019,Low Risk,8591
29253.52558,47,5,1,29253.52558,0,Y,N,1/31/2019,Low Risk,5939
10914.82014,49,1,1,10914.82014,0,N,Y,1/31/2019,Low Risk,8269
15144.32281,31,9,9,15144.32281,0,Y,N,1/31/2019,Low Risk,8145
18071.78168,43,5,9,18071.78168,0,Y,N,1/31/2019,High Risk,3192
18643.38186,37,9,5,18643.38186,0,Y,Y,1/31/2019,High Risk,6874
27329.25833,46,5,1,27329.25833,0,Y,Y,1/31/2019,Low Risk,6177
29647.17972,40,9,5,29647.17972,0,N,Y,1/31/2019,Low Risk,3589
18255.24159,44,5,5,18255.24159,0,N,Y,1/31/2019,Low Risk,8315
17993.30731,17,9,1,17993.30731,0,Y,N,1/31/2019,Low Risk,6312
14502.02199,15,5,1,14502.02199,0,Y,Y,1/31/2019,High Risk,1880
25639.62193,22,1,9,25639.62193,0,Y,N,1/31/2019,Low Risk,5744
